CGATS.17
ORIGINATOR	"Ergosoft AG"
FILE_DESCRIPTOR	""
CREATED	"02/06/26"
NUMBER_OF_FIELDS	9
BEGIN_DATA_FORMAT
SAMPLE_ID SAMPLE_NAME CMYK_C CMYK_M CMYK_Y CMYK_K LAB_L LAB_A LAB_B
END_DATA_FORMAT
NUMBER_OF_SETS	3401
BEGIN_DATA
1 "10A WHITE NK1006640" 0.000000 0.000000 0.000000 0.000000 100.000000 0.500000 0.500000
2 "00A BLACK NK1006640" 88.999771 3.999390 37.999542 94.999619 13.699550 -10.601563 -4.500000
3 "06F ANTHRACITE NK1006640" 62.999924 37.000076 40.999466 80.999466 22.800031 -2.601563 0.300781
4 "01V WOLF GREY NK1006640" 34.999619 25.499351 28.999771 11.500725 70.099947 0.601563 2.601563
5 "01P DK STEEL GREY NK1006640" 51.000229 42.499428 46.999313 36.499580 45.299458 1.000000 3.898438
6 "20Q DARK CINDER NK1006640" 24.499886 57.500572 85.999847 90.000763 19.400320 8.500000 12.898438
7 "39Y GORGE GREEN NK1006640" 88.999771 3.999390 86.500343 74.000153 27.800412 -25.898438 13.000000
8 "31W CLASSIC GREEN NK1006640" 79.499504 9.500267 85.999847 22.000458 48.299382 -35.101563 24.398438
9 "2DH MEDIUM OLIVE NK1006640" 24.499886 8.999771 68.999771 74.000153 41.399252 -3.101563 25.000000
10 "41S COLLEGE NAVY NK1006640" 94.000153 71.000229 22.999924 77.000076 14.900435 0.398438 -11.898438
11 "45W BLUSTERY NK1006640" 92.500191 0.000000 59.499504 11.500725 50.899519 -45.300781 -0.601563
12 "4EV GAME ROYAL NK1006640" 93.000687 54.999619 15.500114 5.499351 37.700465 -7.398438 -36.398438
13 "4EY VALOR BLUE NK1006640" 53.499657 17.500572 0.999466 6.999313 68.200198 -8.101563 -26.300781
14 "4ES AERO BLUE NK1006640" 90.000763 10.000763 20.500496 5.999847 53.499657 -36.000000 -30.500000
15 "44A TIDAL BLUE NK1006640" 83.999390 0.000000 30.000763 10.000763 62.200351 -38.199219 -19.300781
16 "56N FIELD PURPLE NK1006640" 88.000305 87.499809 0.999466 13.000687 29.900053 20.699219 -37.601563
17 "65N UNIVERSITY RED NK1006640" 6.500343 93.000687 77.999542 20.999466 39.800107 56.699219 30.601563
18 "66P DEEP MAROON NK1006640" 50.499733 91.999695 68.000305 70.000763 18.100252 18.500000 6.300781
19 "69W TM CRIMSON NK1006640" 0.500496 92.500191 74.999619 55.500114 28.000305 38.500000 20.898438
20 "69X TEAM MAROON NK1006640" 16.000610 93.000687 62.000458 65.000381 23.300526 30.601563 12.398438
21 "66Z PINK FIRE II NK1006640" 21.499962 74.000153 2.000458 0.000000 54.900435 48.601563 -13.398438
22 "79W TEAM GOLD NK1006640" 14.999619 20.999466 50.000763 0.999466 79.499504 3.800781 29.800781
23 "79S YELLOW STRIKE NK1006640" 0.000000 6.999313 88.999771 0.000000 92.599374 -2.101563 82.300781
24 "79Q SUNDOWN NK1006640" 0.000000 39.000534 100.000000 2.000458 75.800717 20.699219 78.800781
25 "81F DESERT ORANGE NK1006640" 22.000458 74.000153 91.999695 33.000687 40.300603 30.800781 33.699219
26 "89L TEAM ORANGE NK1006640" 8.499275 90.000763 91.999695 0.000000 51.700618 58.898438 49.000000
27 "87F BRIGHT CERAMIC NK1006640" 0.000000 57.000076 99.000534 0.999466 66.100557 38.500000 68.398438
28 "6DL GYM RED RW20WK" 3.900206 100.000000 78.800641 43.100633 31.000229 49.000000 43.000000
29 "10A WHITE RW20WK" 0.000000 0.000000 0.000000 0.000000 100.000000 0.500000 0.500000
30 "00A BLACK RW20WK" 92.600900 7.000839 38.001068 100.000000 17.900359 -9.500000 -3.898438
31 "06F ANTHRACITE RW20WK" 63.999390 33.000687 45.999847 80.000000 24.499886 -3.601563 -1.898438
