CGATS.17
ORIGINATOR	"ALPHA COLOR MATCH"
FILE_DESCRIPTOR	""
CREATED	"3/28/2026"
NUMBER_OF_FIELDS	9
BEGIN_DATA_FORMAT
SAMPLE_ID SAMPLE_NAME CMYK_C CMYK_M CMYK_Y CMYK_K LAB_L LAB_A LAB_B
END_DATA_FORMAT
NUMBER_OF_SETS	57
BEGIN_DATA

1. "10F TM WHITE NK711075" 0.000000 0.000000 0.000000 0.000000 100.000000 0.000000 0.000000
2. "10A WHITE NK711075" 0.000000 0.000000 0.000000 0.000000 100.000000 0.000000 0.000000
3. "03S TM BLACK NK711075" 90.000763 17.500572 34.099336 100.000000 13.499657 -10.000000 -4.500000
4. "00A BLACK NK711075" 90.000763 17.500572 34.099336 100.000000 13.499657 -10.000000 -4.500000
5. "05X TM ANTHRACITE NK711075" 63.099565 42.499962 44.499809 79.500496 19.800107 -3.000000 -1.199219
6. "06F ANTHRACITE NK711075" 63.099565 42.499962 44.499809 79.500496 19.800107 -3.000000 -1.199219
7. "2AQ TM BROWN NK711075" 30.599489 59.499962 77.500534 83.599603 19.200427 9.000000 12.699219
8. "20Q DARK CINDER NK711075" 30.599489 59.499962 77.500534 83.599603 19.200427 9.000000 12.699219
9. "31V TM DARK GREEN NK711075" 82.500000 5.099565 84.499809 68.002670 26.599527 -25.300781 12.500000
10. "39Y GORGE GREEN NK711075" 82.500000 5.099565 84.499809 68.002670 26.599527 -25.300781 12.500000
11. "3EM TM KELLY GREEN NK711075" 71.600000 10.000763 78.100175 30.000763 46.500343 -36.500000 23.699219
12. "31W CLASSIC GREEN NK711075" 71.600000 10.000763 78.100175 30.000763 46.500343 -36.500000 23.699219
13. "43V TM NAVY NK711075" 96.000000 71.000763 26.999847 76.000610 14.599832 1.300781 -11.800781
14. "41S COLLEGE NAVY NK711075" 96.000000 71.000763 26.999847 76.000610 14.599832 1.300781 -11.800781
15. "44A TM TIDAL BLUE NK711075" 80.000000 1.499962 30.000763 13.200580 55.800717 -39.800781 -17.800781
16. "44A TIDAL BLUE NK711075" 80.000000 1.499962 30.000763 13.200580 55.800717 -39.800781 -17.800781
17. "45W TM BLUSTERY NK711075" 89.500267 0.000000 53.099619 19.600214 49.399557 -48.800781 0.699219
18. "45W BLUSTERY NK711075" 89.500267 0.000000 53.099619 19.600214 49.399557 -48.800781 0.699219
19. "49V TM ROYAL NK711075" 91.999695 56.501106 18.199435 6.999313 37.599756 -7.699219 -35.898438
20. "4EV GAME ROYAL NK711075" 91.999695 56.501106 18.199435 6.999313 37.599756 -7.699219 -35.898438
21. "4CV TM LIGHT BLUE NK711075" 56.601320 23.500458 2.500458 7.998779 62.400244 -9.101563 -30.800781
22. "4EY VALOR BLUE NK711075" 56.601320 23.500458 2.500458 7.998779 62.400244 -9.101563 -30.800781
23. "4ES TM AERO BLUE NK711075" 89.001297 11.000229 18.500038 5.999847 54.200046 -37.500000 -30.800781
24. "4ES AERO BLUE NK711075" 89.001297 11.000229 18.500038 5.999847 54.200046 -37.500000 -30.800781
25. "52V TM PURPLE NK711075" 81.600000 82.999924 3.199817 11.599908 29.199664 20.300781 -38.199219
26. "56N FIELD PURPLE NK711075" 81.600000 82.999924 3.199817 11.599908 29.199664 20.300781 -38.199219
27. "64V TM SCARLET NK711075" 6.600061 91.999619 70.000763 22.600137 40.999466 58.601563 32.199219
28. "65N UNIVERSITY RED NK711075" 6.600061 91.999619 70.000763 22.600137 40.999466 58.601563 32.199219
29. "67Y TM DARK MAROON NK711075" 50.500763 100.000000 67.000839 67.599313 18.100252 18.500000 6.300781
30. "66P DEEP MAROON NK711075" 50.500763 100.000000 67.000839 67.599313 18.100252 18.500000 6.300781
31. "69W TM CRIMSON NK711075" 16.001068 95.000000 70.099695 55.000328 28.099489 38.300781 20.199219
32. "69W TEAM CRIMSON NK711075" 16.001068 95.000000 70.099695 55.000328 28.099489 38.300781 20.199219
33. "69Y TM CARDINAL NK711075" 31.099351 100.000000 56.500000 61.700633 23.999390 31.800781 12.800781
34. "69X TEAM MAROON NK711075" 31.099351 100.000000 56.500000 61.700633 23.999390 31.800781 12.800781
35. "6DR TM PINK FIRE II NK711075" 25.099565 71.099413 1.000992 0.000000 54.099336 47.199219 -14.699219
36. "66Z PINK FIRE II NK711075" 25.099565 71.099413 1.000992 0.000000 54.099336 47.199219 -14.699219
37. "79S TM YELLOW STRIKE NK711075" 0.000000 4.100099 79.099718 0.000000 91.299306 -0.199219 80.898438
38. "79S YELLOW STRIKE NK711075" 0.000000 4.100099 79.099718 0.000000 91.299306 -0.199219 80.898438
39. "79X TM VEGAS GOLD NK711075" 17.500076 24.100633 44.500839 3.100633 78.600748 3.898438 30.898438
40. "79W TEAM GOLD NK711075" 17.500076 24.100633 44.500839 3.100633 78.600748 3.898438 30.898438
41. "79Y TM BRIGHT GOLD NK711075" 0.000000 34.000153 97.000076 2.400244 74.799725 22.300781 77.699219
42. "79Q SUNDOWN NK711075" 0.000000 34.000153 97.000076 2.400244 74.799725 22.300781 77.699219
43. "82U TM ORANGE NK711075" 8.000305 83.000381 90.099870 0.000000 51.299306 60.898438 47.800781
44. "89L TEAM ORANGE NK711075" 8.000305 83.000381 90.099870 0.000000 51.299306 60.898438 47.800781
45. "87F TM BRIGHT CERAMIC NK711075" 0.000000 56.000610 99.000534 2.099641 64.699779 41.101563 67.000000
46. "87F BRIGHT CERAMIC NK711075" 0.000000 56.000610 99.000534 2.099641 64.699779 41.101563 67.000000
47. "2DH TM MEDIUM OLIVE NK711075" 20.500381 11.000763 60.000458 66.599527 40.599680 -2.601563 24.101563
