"grupo_id","COLOR 1","COLOR 2","COLOR 3","COLOR 4","COLOR 5","COLOR 6"
"BLK01","00A BLACK","03S TM Black"," 00ABLACK","03T TM BLACK","",""
"ANT01","06F ANTHRACITE","05X TM Anthracite","05X TM ANTHRACITE","","",""
"GRY01","01V WOLF GREY","03T Blue Grey","03T TM BLUE GREY","03T BLUE GREY","",""
"GRY02","01P DK STEEL GREY","01P DARK STEEL GREY","01P TM DK STEEL GREY","01P T DARK STEEL GREY","01P TM DARK STEEL GREY","01P TM DK STL GRY"
"CIN01","20Q DARK CINDER","2AQ TM Brown","2AQ TM BROWN","","",""
"GRN01","39Y GORGE GREEN","31V TM Dark Green","31V TM DARK GREEN","","",""
"GRN02","31W CLASSIC GREEN","3EM TM Kelly Green","3EM TM KELLY GREEN","","",""
"OLV01","2DH MEDIUM OLIVE","2DH TM Medium Olive","2DH TM MEDIUM OLIVE","2DH MED OLIVE","2DH TM MED OLIVE",""
"NAV01","41S COLLEGE NAVY","43V TM Navy","43V TM NAVY","","",""
"BTR01","45W BLUSTERY","45W TM Blustery","45W TM BLUSTERY","","",""
"ROY01","4EV GAME ROYAL","49V TM Royal","49V TM ROYAL","49 TM ROYAL","",""
"BLU01","4EY VALOR BLUE","4CV TM Light Blue","4CV TM LIGHT BLUE","","",""
"BLU02","4ES AERO BLUE","4ES TM Aero Blue","4ES TM AERO BLUE","","",""
"BLU03","44A TIDAL BLUE","44A TM Tidal Blue","44A TM TIDAL BLUE","","",""
"FLP01","56N FIELD PURPLE","52V TM Purple","52V TM PURPLE","","",""
"UNR01","65N UNIVERSITY RED","54V TM Scarlet","64V TM SCARLET","65N UNI RED","",""
"DPN01","66P DEEP MAROON","67Y TM Dark Maroon","67Y TM DARK MAROON","","",""
"CRM01","69W TM CRIMSON","69W TEAM CRIMSON","69W CRIMSON","","",""
"TMN01","69X TEAM MAROON","69Y TM Cardinal","69Y TM CARDINAL","","",""
"PNF01","66Z PINK FIRE II","6DR TM Pink Fire II","6DR TM PINK FIRE II","66Z PINK FIRE","6DR TM PINK FIRE",""
"VGD01","79W TEAM GOLD","79X TM Vegas Gold","79X TM VEGAS GOLD","","",""
"YSK01","79S YELLOW STRIKE","79S TM Yellow Strike","79S TM YELLOW STRIKE","79S TM YELLOW STKE","79S TM YELLON STRIKE",""
"SUN01","79Q SUNDOWN","79Y TM Bright Gold","79Y TM BRIGHT GOLD","","",""
"DEO01","81F DESERT ORANGE","81F TM DESERT ORANGE","81F TM DSRT ORANGE","","",""
"TOR01","89L TEAM ORANGE","89L TM Orange","82U TM ORANGE","","",""
"BTC01","87F BRIGHT CERAMIC","87F TM BRIGHT CERAMIC","87F TM Bright Ceramic","87F TM BRGHT CERAMC","",""
"NOR01","52M NEW ORCHID","52M New Orchid","","","",""
"PGR01","08Q TM PEWTER GREY","03T PEWTER GREY","03T TM PEWTER GREY","08Q PEWTER GREY","",""
"7CG01","77C GOLD","77C Gold","","","",""
"BLU04","44U SIGNAL BLUE","44U Signal Blue","","","",""
"78A01","78H AMARILLO","78H Amarillo","","","",""
"GRN03","3EY PRO GREEN","3EY  Pro Green","","","",""
"CGD01","79V CLUB GOLD","79V Club Gold","","","",""
"UGD01","76I UNIVERSITY GOLD","76I University Gold","76I UNI GOLD","","",""
" BLUE05","48Y ITALY BLUE","48Y Italy Blue","","","",""
"UOR01","89M Uni Orange","89M UNIVERSITY ORANGE","89M UNI ORANGE","","",""
"FGR01","06H FLINT GREY","","","","",""
"BLU06","4LB Gym Blue","4LB GYM BLUE","","","",""
"BOR01","89N Brilliant Orange","89N BRILLIANT ORANGE","89N BRLL ORANGE","89N BRNT ORANGE","",""
"NTL01","15A TM NATURAL","15A NATURAL","","","",""
"WHT01","10A WHITE","10F TM WHITE","10F WHITE","10A WHITE STANDARD","",""
"6G01","6DL GYM RED","","","","",""
"RBl01","Rich Black","","","","",""
"BLU07","4EW RUSH BLUE","","","","",""
"URL01","55U URBAN LILAC","","","","",""
"PMS01","PMS 109C NEW YELLOW","","","","",""
"PMS02","PMS 361C LEVEL GREEN","","","","",""
"DTQ01","4KB DARK TURQUOISE","4KB DARK TURQ","","","",""
"PMS03","PMS 132 OLD GOLD","","","","",""
"7GD01","79U GOLD DART","","","","",""
"PMS04","PMS 511C NEW MAROON","","","","",""
"","2 - Tonal LT Pewter Grey","TONAL LIGHT PEWTER GREY","Tonal LT Pewter Grey","","",""
"","TNL LT DARK GREEN ELEC","Tonal LT Dark Green","","","",""
"","TONAL LIGHT AERO BLUE","Tonal LT Aero Blue","","","",""
"","TONAL LIGHT BLACK","Tonal LT Black","","","",""
"","TONAL LIGHT BLUE GREY","","","","",""
"","TONAL LIGHT BRIGHT CERAMIC","Tonal LT Bright Ceramic","","","",""
"","TONAL LIGHT BRIGHT GOLD","Tonal LT Bright Gold","","","",""
"","TONAL LIGHT BROWN","","","","",""
"","TONAL LIGHT DESERT ORANGE","Tonal LT Desert Orange","","","",""
"","TONAL LIGHT GREEN","","","","",""
"","TONAL LIGHT LG BLUE","Tonal LT Light Blue","","","",""
